"Brand","Brand ID","Month and Year","Affiliate","Impressions","Clicks","Signups","NDC","fdt","Net Revenue","Earnings"
"Betboo","2","Feb-24","losangeles","29","32","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","Bahispanaroma","0","1","0","0","0","€ 0.02","€ 0.01"
"Betboo","2","Feb-24","forumneyine","0","12","0","0","0","€ 11.77","€ 3.53"
"Betboo","2","Feb-24","Jackpotiso","0","106","10","2","2","€ 16.72","€ 5.02"
"Betboo","2","Feb-24","haberpop","0","179","1","1","1","€ 23.80","€ 7.14"
"Betboo","2","Feb-24","Aslan500","0","3","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","KodKalesi","0","181","10","3","3","-€ 192.14","€ 0.00"
"Betboo","2","Feb-24","jessyp","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","Paulomedya","0","1","0","0","0","€ 0.01","€ 0.00"
"Betboo","2","Feb-24","dodo2134","0","722","227","5","5","€ 117.94","€ 35.38"
"Betboo","2","Feb-24","FRTN","0","6","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","rabinyagann","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","captainmej","0","227","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","alestasal","0","33","1","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","guvenmedia","0","41","2","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","servetsesi","0","33","2","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","trafee","0","70","6","1","1","€ 33.55","€ 45.00"
"Betboo","2","Feb-24","vmg","0","3","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","BWgambler","0","34","1","1","1","€ 23.93","€ 7.18"
"Betboo","2","Feb-24","Darkl3ader","0","19","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","selimdurmaz","0","5","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","casinoalparslan","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","Casinoxklc","0","20","2","1","1","€ 2.42","€ 0.73"
"Betboo","2","Feb-24","AidanLeonard","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","shark3pvt","0","27","7","1","1","-€ 0.43","€ 45.00"
"Betboo","2","Feb-24","forumiddaa1","0","404","4","0","0","-€ 0.02","€ 0.00"
"Betboo","2","Feb-24","pvtspb","0","657","60","14","14","-€ 543.69","€ 630.00"
